SCHOOL_ID,SCHOOL_SHORT_NAME,RCDTS_CODE
610329,OROZCO,150162990252842
610257,MORTON,150162990252844
610212,ALBANY PARK,150162990252850
609990,SOUTH LOOP,150162990252855
610298,LENART,150162990252856
610021,CASALS,150162990252862
609872,PEREZ,150162990252864
610125,RUIZ,150162990252867
610317,BRIGHTON PARK,150162990252870
610319,EVERGREEN,150162990252873
609842,CARSON,150162990252876
609968,MCAULIFFE,150162990252877
610009,GALILEO,150162990252878
610325,LOGANDALE,150162990252881
610148,CHAVEZ,150162990252886
609865,JORDAN,150162990252889
609925,KELLMAN,150162990252892
609967,FINKL,150162990252893
609951,ARIEL,150162990252895
609834,LITTLE VILLAGE,150162990252896
609973,ZAPATA,150162990252897
609950,ORTIZ DE DOMINGUEZ,150162990252898
609993,LARA,150162990252900
609921,TELPOCHCALLI,150162990252901
610110,WELLS ES,150162990252902
609977,WOODLAWN,150162990252903
609855,CHRISTOPHER,150162990252904
610100,WEST PARK,150162990252908
609780,MARINE LEADERSHIP AT AMES HS,150162990252912
610057,FAIRFIELD,150162990252913
610226,SANDOVAL,150162990252914
610051,NORTHWEST,150162990252915
609807,HAMPTON,150162990252916
610199,COLEMON,150162990252918
610170,COLUMBIA EXPLORERS,150162990252919
610248,CHICAGO ACADEMY ES,150162990252920
610355,COURTENAY,150162990252921
610287,ASHBURN,150162990252922
609922,BELMONT-CRAGIN,150162990252923
610231,NATIONAL TEACHERS,150162990252924
610249,TALMAN,150162990252926
610284,NEW FIELD,150162990252930
610352,DURKIN PARK,150162990252933
610353,CALMECA,150162990252934
610354,NORTH RIVER,150162990252935
610347,CLAREMONT,150162990252936
609891,DOOLITTLE,150162990252937
610405,SUDER,150162990252941
610396,TARKINGTON,150162990252943
610503,FRAZIER PROSPECTIVE,150162990252945
610515,DISNEY II ES,150162990252949
610523,EDISON PARK,150162990252953
610521,DAVIS M,150162990252954
610520,LASALLE II,150162990252955
610533,PRIETO,150162990252958
610534,SKINNER NORTH,150162990252959
610530,SOUTH SHORE ES,150162990252960
610539,CAMRAS,150162990252963
610541,LORCA,150162990252964
610542,WEST RIDGE,150162990252965
610544,AZUELA,150162990252966
610548,STEM,150162990252967
610559,SHIELDS MIDDLE,150162990252968
610586,SOUTHEAST,150162990252969
610588,RICHARDSON,150162990252970
609783,JEFFERSON HS,150162990253075
609748,YORK HS,150162990253600
609769,GRAHAM HS,150162990253715
609750,SIMPSON HS,150162990253732
610308,RUDOLPH,150162990253735
609744,NORTHSIDE LEARNING HS,150162990253743
609766,VAUGHN HS,150162990253753
610083,BEARD,150162990253760
610087,BLAIR,150162990253761
610163,STOCK,150162990253762
609745,SOUTHSIDE HS,150162990253765
610572,CAMELOT - SAFE ES,150162990253777
610573,CAMELOT - SAFE HS,150162990253777
609871,VICK,150162990253781
610386,PEACE AND EDUCATION HS,150162990253784
610504,THOMAS,150162990253787
610557,PATHWAYS - ASHBURN HS,150162990253794
610568,PATHWAYS - AVONDALE HS,150162990253794
400173,PATHWAYS - BRIGHTON PARK HS,150162990253794
610565,CAMELOT - EXCEL ENGLEWOOD HS,150162990253796
610581,MAGIC JOHNSON - BRAINERD HS,150162990253797
610580,MAGIC JOHNSON - HUMBOLDT PK HS,150162990253797
610566,MAGIC JOHNSON - N LAWNDALE HS,150162990253797
610567,MAGIC JOHNSON - ROSELAND HS,150162990253797
